event_id,start_time,target_id,title_text,btn_text,end_time,target_type,description_text,reminder_id,notice_text,thumbnail_id
10046,"2021/09/01 15:00:00",5046601,"이벤트 스페셜 에피소드","스토리로","2021/10/02 14:59:59",1,"이벤트 「미사토 여름 응원! 꿈을 좇는 한여름의 나인」\n스페셜 에피소드가 오픈되었습니다.",1004601,"엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",5046601
10048,"2021/10/16 15:00:00",5048,"이벤트 스페셜 에피소드","스토리로","2021/11/01 14:59:59",2,"이벤트 「해피 체인지 엔젤즈」\n엔딩을 보면 특별한 에피소드가 오픈됩니다.",1004801,"엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",0
10048,"2021/10/16 15:00:00",5048,"이벤트 스페셜 에피소드","스토리로","2021/11/01 14:59:59",3,"이벤트 「해피 체인지 엔젤즈」에서\n라피가 보낸 편지가 도착했습니다!",1004802,"엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",0
10056,"2022/02/11 15:00:00",5056,"이벤트 스페셜 에피소드","스토리로","2022/02/28 14:59:59",4,"이벤트 「신춘 미식가 프린세스! 한 방에 건 소녀들」\n스페셜 에피소드가 오픈되었습니다.",1005601,"엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",5056601
10061,"2022/03/28 15:00:00",5061,"이벤트 스페셜 에피소드","스토리로","2022/04/15 14:59:59",3,"이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.",1006101,"엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",5061601
10061,"2022/04/11 15:00:00",10061,"이벤트 스페셜 에피소드","스토리로","2022/04/15 14:59:59",5,"이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.",1006102,"",5061602
10061,"2022/04/15 15:00:00",5061,"이벤트 스페셜 에피소드","스토리로","2022/04/28 14:59:59",3,"이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.",1006103,"엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",5061601
10066,"2022/05/30 15:00:00",1004,"미니 게임 스토리 오픈","스토리로","2022/06/30 14:59:59",6,"미니 게임 「대격전! 끝말잇기 드래곤즈」\n에서 새로운 스토리가 오픈되었습니다",1006601,"열람하기 위해서는 「모두의 게임 테이블」에서\n「대격전! 끝말잇기 드래곤즈」를 구입해\nEXTRA를 플레이해야 합니다",5027704
10070,"2022/08/12 15:00:00",10070,"이오의 코멘트 추가","이벤트로","2022/08/16 14:59:59",5,"「여름방학 그림일기」에\n이오 선생님의 첨삭 코멘트가 추가됐습니다.",1007001,"「여름방학 그림일기」 표지를 교체하면\n첨삭 코멘트를 보실 수 있습니다.",5070601
10073,"2022/09/17 15:00:00",5046601,"이벤트 스페셜 에피소드","스토리로","2022/09/29 14:59:59",1,"이벤트 「미사토 여름 응원! 꿈을 좇는 한여름의 나인」\n스페셜 에피소드가 오픈되었습니다.",1007301,"엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",5046601
10075,"2022/10/24 15:00:00",5048,"이벤트 스페셜 에피소드","스토리로","2022/10/30 14:59:59",2,"이벤트 「해피 체인지 엔젤즈」\n엔딩을 보면 특별한 에피소드가 오픈됩니다.",1007501,"엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",0
10075,"2022/10/24 15:00:00",5048,"이벤트 스페셜 에피소드","스토리로","2022/10/30 14:59:59",3,"이벤트 「해피 체인지 엔젤즈」에서\n라피가 보낸 편지가 도착했습니다!",1007502,"엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.",0
10082,"2023/02/13 15:00:00",1004,"단체 사진 추가","이벤트로","2023/02/17 14:59:59",5,"「다 함께 설음식 파티」에\n단체 사진이 추가되었습니다.",1008201,"",5082601
